"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Region of Origin","Cause of Death","Country of Origin","Location of death","Information Source",Coordinates,"Migration route",URL,"UNSD Geographical Grouping","Source Quality"
2014.MMP00034,2014.MMP00034,"South-eastern Asia","Sun, 03/09/2014 - 12:00",2014,March,5,,5,4,2,3,,"Southern Asia","Vehicle accident / death linked to hazardous transport",Cambodia,"Bypass Road, Moo 7, Bang Phra subdistrict, Sri Racha district, Chonburi province, Thailand","Manager Online, INN News, Khomchudluek","13.2353642, 101",,"https://archive.vn/d2PId, https://archive.vn/e7gb0, https://archive.vn/aBj2m","South-eastern Asia",3
2014.MMP00035,2014.MMP00035,"South-eastern Asia","Sun, 03/09/2014 - 12:00",2014,March,2,,2,10,,2,,"Southern Asia","Vehicle accident / death linked to hazardous transport",Myanmar,"Moo 13, 38th km of the 4006 Langsuan-Pato Road, Pato district, Chumphon province, Thailand","INN News, Manager Online, Daily News","9.96833, 99",,"https://archive.vn/rni6s, https://archive.vn/PXCXg, https://archive.vn/0rFwG","South-eastern Asia",3
2014.MMP00036,2014.MMP00036,"Central America","Tue, 03/11/2014 - 12:00",2014,March,1,,1,,1,,1,"South America",Violence,Ecuador,"Río Bravo, Ciudad Juarez, Chihuahua, Mexico","New York Times","31.6904, -106.425","US-Mexico border crossing",http://nyti.ms/1k00Xlq,"Central America",1
2014.MMP00037,2014.MMP00037,"Eastern Africa","Sun, 03/09/2014 - 12:00",2014,March,2,42,44,33,1,,4,"Eastern Africa",Drowning,"Somalia, Ethiopia","Gulf of Aden off the coast of Somalia - EHOA-Yemen crossing",UNHCR,"12.5331, 48","Eastern Route to/from EHOA",http://bit.ly/1gmKS4K,Uncategorized,4
2014.MMP00038,2014.MMP00038,Europe,"Wed, 03/12/2014 - 12:00",2014,March,1,0,1,0,,1,,"Eastern Africa","Vehicle accident / death linked to hazardous transport",Ethiopia,"France - Calais (Hit by lorry in port)","France Info, Daily Mail UK","50.9686, 2","English Channel to the UK","http://dailym.ai/1iYPbax, https://archive.vn/pTnr0","Western Europe",3
2014.MMP00039,2014.MMP00039,"North America","Thu, 03/13/2014 - 12:00",2014,March,1,,1,,,,,"Central America","Mixed or unknown","El Salvador","King Ranch, Brooks County, Texas, USA","Operation Identification, University of Texas","26.811203, -97.748199","US-Mexico border crossing",,"Northern America",5
2014.MMP00040,2014.MMP00040,Europe,"Fri, 03/14/2014 - 12:00",2014,March,1,0,1,0,,1,,"Eastern Africa","Mixed or unknown",Ethiopia,"France - Calais (Body found on dock)","Daily Mail UK","50.950273, 2","English Channel to the UK","http://dailym.ai/1iYPbax, https://archive.vn/COKZd, https://archive.vn/pTnr0","Western Europe",3
2014.MMP00041,2014.MMP00041,Europe,"Sat, 03/15/2014 - 12:00",2014,March,1,0,1,2,,1,,"Eastern Africa","Vehicle accident / death linked to hazardous transport",Ethiopia,"France - Calais (Body found crushed in transporter)","Daily Mail UK","50.9688, 2","English Channel to the UK","http://dailym.ai/1iYPbax, https://archive.vn/EiCRT, https://archive.vn/pTnr0","Western Europe",3
2014.MMP00042,2014.MMP00042,"North America","Sat, 03/15/2014 - 12:00",2014,March,1,,1,,,,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.789033, -112.114583","US-Mexico border crossing",,"Northern America",5
2014.MMP00043,2014.MMP00043,"North America","Sat, 03/15/2014 - 12:00",2014,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.1386, -112.326","US-Mexico border crossing",,"Northern America",5
2014.MMP00044,2014.MMP00044,Mediterranean,"Mon, 03/17/2014 - 12:00",2014,March,1,,1,,,,,Unknown,"Vehicle accident / death linked to hazardous transport",Unknown,Mediterranean,"Global post","34.9797, 13","Central Mediterranean",http://bit.ly/1lOxCNv,Uncategorized,1
2014.MMP00045,2014.MMP00045,Mediterranean,"Tue, 03/18/2014 - 12:00",2014,March,7,2,9,8,1,1,1,"Western Asia",Drowning,"Syrian Arab Republic","Waters near Lesvos, Greece",Guardian,"39.398814, 26","Eastern Mediterranean",http://bit.ly/1qfMlCm,Uncategorized,1
2014.MMP00046,2014.MMP00046,"Eastern Africa","Sat, 03/22/2014 - 12:00",2014,March,251,0,251,50,,,,"Middle Africa",Drowning,Congo,"Lake Albert, Uganda/DRC","BBC (UNHCR)","1.63236, 31",,http://bbc.in/1iRb5A9,"Eastern Africa",1
2014.MMP00047,2014.MMP00047,"North America","Sun, 03/23/2014 - 12:00",2014,March,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.558, -111.183","US-Mexico border crossing",,"Northern America",5
2014.MMP00048,2014.MMP00048,"North America","Wed, 03/26/2014 - 12:00",2014,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.94755, -112.06415","US-Mexico border crossing",,"Northern America",5
2014.MMP00049,2014.MMP00049,"North America","Wed, 03/26/2014 - 12:00",2014,March,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.85666, -111.62433","US-Mexico border crossing",,"Northern America",5
2014.MMP00050,2014.MMP00050,"Central America","Wed, 03/26/2014 - 12:00",2014,March,1,,1,,1,,,"Central America","Vehicle accident / death linked to hazardous transport",Guatemala,"Comitan, Chiapas, Mexico","El Siglo de Torreon","16.2299602, -92",,http://bit.ly/1WIuqEs,"Central America",1
2014.MMP00051,2014.MMP00051,"North America","Sun, 03/30/2014 - 12:00",2014,March,1,,1,,1,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.688867, -111.862733","US-Mexico border crossing",,"Northern America",5
2014.MMP00052,2014.MMP00052,"North America","Sun, 03/30/2014 - 12:00",2014,March,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.3085, -111.7528","US-Mexico border crossing",,"Northern America",5
2014.MMP00053,2014.MMP00053,"North America","Sun, 03/30/2014 - 12:00",2014,March,1,,1,,,1,,"Central America","Accidental death","El Salvador","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Nogales International and Pima County Office of the Medical Examiner (PCOME)","31.33271, -110.93813","US-Mexico border crossing",http://bit.ly/1grVlvz,"Northern America",5
2014.MMP00054,2014.MMP00054,"North America","Wed, 04/02/2014 - 12:00",2014,April,1,,1,,,1,,"Central America","Mixed or unknown",Mexico,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.354017, -110.989383","US-Mexico border crossing",,"Northern America",5
2014.MMP00055,2014.MMP00055,"Eastern Africa","Wed, 04/09/2014 - 12:00",2014,April,17,0,17,0,,,,"Eastern Africa",Drowning,Zimbabwe,"Limpopo River, Zimbabwe",AllAfrica,"-23.8148, 32","Route to Southern Africa",http://bit.ly/1z57Bim,"Eastern Africa",1
2014.MMP00056,2014.MMP00056,Mediterranean,"Wed, 04/09/2014 - 12:00",2014,April,1,0,1,661,,,,Unknown,"Mixed or unknown",Unknown,"Italy waters","Deutsche Welle","35.1092, 14","Central Mediterranean",http://bit.ly/1okLaA1,Uncategorized,1
2014.MMP00057,2014.MMP00057,"North America","Thu, 04/10/2014 - 12:00",2014,April,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.03171, -112.42503","US-Mexico border crossing",,"Northern America",5
2014.MMP00058,2014.MMP00058,"North America","Thu, 04/10/2014 - 12:00",2014,April,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.836217, -111.9419","US-Mexico border crossing",,"Northern America",5
2014.MMP00059,2014.MMP00059,"North America","Mon, 04/14/2014 - 12:00",2014,April,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.12865, -111.330983","US-Mexico border crossing",,"Northern America",5
2014.MMP00060,2014.MMP00060,"North America","Mon, 04/14/2014 - 12:00",2014,April,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.178733, -112.5039","US-Mexico border crossing",,"Northern America",5
2014.MMP00061,2014.MMP00061,"North America","Mon, 04/14/2014 - 12:00",2014,April,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.09045, -112.246033","US-Mexico border crossing",,"Northern America",5
2014.MMP00062,2014.MMP0006265,"Northern Africa","Mon, 04/14/2014 - 12:00",2014,April,2,0,2,309,,,,"Eastern Africa","Harsh environmental conditions / lack of adequate shelter, food, water",Ethiopia,"Sudanese-Libyan desert","Agence France Presse","23.3112, 22","Sahara Desert crossing",http://reliefweb.int/report/sudan/10-migrants-die-hundreds-rescued-sudan-libya-desert,"Northern Africa",1
2014.MMP00062,2014.MMP0006266,"Northern Africa","Mon, 04/14/2014 - 12:00",2014,April,1,,1,,,,,"Eastern Africa","Harsh environmental conditions / lack of adequate shelter, food, water",Eritrea,"Sudanese-Libyan desert","Agence France Presse","23.3112, 22","Sahara Desert crossing",http://reliefweb.int/report/sudan/10-migrants-die-hundreds-rescued-sudan-libya-desert,"Northern Africa",1
2014.MMP00062,2014.MMP0006267,"Northern Africa","Mon, 04/14/2014 - 12:00",2014,April,1,,1,,,,,Unknown,"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Sudanese-Libyan desert","Agence France Presse","23.3112, 22","Sahara Desert crossing",http://reliefweb.int/report/sudan/10-migrants-die-hundreds-rescued-sudan-libya-desert,"Northern Africa",1
2014.MMP00062,2014.MMP0006268,"Northern Africa","Mon, 04/14/2014 - 12:00",2014,April,6,,6,,,,,"Northern Africa","Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,"Sudanese-Libyan desert","Agence France Presse","23.3112, 22","Sahara Desert crossing",http://reliefweb.int/report/sudan/10-migrants-die-hundreds-rescued-sudan-libya-desert,"Northern Africa",1
2014.MMP00063,2014.MMP00063,Mediterranean,"Wed, 04/16/2014 - 12:00",2014,April,8,1,9,5,2,,1,"Western Asia",Drowning,"Syrian Arab Republic","Türkiye waters - en route to Greece",,"38.669208, 27","Eastern Mediterranean",http://bit.ly/1qfNEkE,Uncategorized,1
2014.MMP00064,2014.MMP00064,"Central America","Thu, 04/17/2014 - 12:00",2014,April,4,,4,3,,,,"Central America",Violence,"Honduras, Mexico","On la Bestia, near Arriaga, Chiapas, Mexico","Soy 502","16.242196, -94",,http://bit.ly/29FBuh6,"Central America",1
2014.MMP00066,2014.MMP00066,"North America","Fri, 04/18/2014 - 12:00",2014,April,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.1886, -113.0037","US-Mexico border crossing",,"Northern America",5
2014.MMP00067,2014.MMP00067,"South-eastern Asia","Mon, 04/21/2014 - 12:00",2014,April,5,,5,,,,,"Eastern Asia",Violence,China,"Border China/Vietnam","New York Times","21.5928, 107",,http://nyti.ms/1kzuP6j,"South-eastern Asia",1
2014.MMP00068,2014.MMP00068,"North America","Wed, 04/23/2014 - 12:00",2014,April,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.1833, -112.9961","US-Mexico border crossing",,"Northern America",5
2014.MMP00069,2014.MMP00069,"South-eastern Asia","Fri, 04/25/2014 - 12:00",2014,April,7,,7,7,2,5,,"Southern Asia","Vehicle accident / death linked to hazardous transport",Cambodia,"344 Road, 39-40th km, Nong Sue Chang subdistrict, Nong Yai district, Chonburi province, Thailand","Naewna,  Post Today, Daily News, Manager Online","13.3493133, 101",,"https://archive.vn/FobuQ, https://archive.vn/CeF3O, https://archive.vn/GT3UL","South-eastern Asia",3
2014.MMP00070,2014.MMP00070,"North America","Sun, 04/27/2014 - 12:00",2014,April,1,,1,,,1,,"Central America",Violence,Mexico,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.99887, -110.862595","US-Mexico border crossing",,"Northern America",5
2014.MMP00071,2014.MMP00071,"North America","Sun, 04/27/2014 - 12:00",2014,April,1,,1,,,1,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.467633, -110.793333","US-Mexico border crossing",,"Northern America",5
2014.MMP00072,2014.MMP00072,Mediterranean,"Wed, 04/30/2014 - 12:00",2014,April,,40,40,1,,,,"Eastern Africa",Drowning,Somalia,"Coast of Libya","Relief Web","34.3706, 14","Central Mediterranean",http://bit.ly/1okLiQ5,Uncategorized,1
2014.MMP00073,2014.MMP00073,"North America","Wed, 04/30/2014 - 12:00",2014,April,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.59867, -111.43782","US-Mexico border crossing",,"Northern America",5
2014.MMP00074,2014.MMP00074,Caribbean,"Thu, 05/01/2014 - 12:00",2014,May,6,3,9,16,,,,Caribbean,Drowning,Unknown,"Dominican Republic, near Boca Chica and Juan Dolio","Dominican Today","18.3079, -70",,http://bit.ly/1pGZg2g,Caribbean,1
2014.MMP00075,2014.MMP00075,"North America","Thu, 05/01/2014 - 12:00",2014,May,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.58023, -111.79283","US-Mexico border crossing",,"Northern America",5
2014.MMP00076,2014.MMP00076,Mediterranean,"Fri, 05/02/2014 - 12:00",2014,May,4,0,4,80,,,,"Eastern Africa",Drowning,"Eritrea, Ethiopia, Somalia","Coast of Libya","Relief Web","33.1045, 14","Central Mediterranean",http://bit.ly/1okLiQ5,Uncategorized,1
